 year , adminClass , economicClass , budgetPhase , sum ,
nom,nom,nom,nom,target,
 2014 , 15 , 6481 , executed , 0.0 ,
 2014 , 10 , 6211 , reserved , 827.26 ,
 2013 , 25 , 6463 , approved , 0.0 ,
 2013 , 10 , 6474 , reserved , 0.0 ,
 2013 , 10 , 6699 , draft , 0.0 ,
 2015 , 70 , 6422 , revised , 1500.0 ,
 2013 , 70 , 6276 , reserved , 0.0 ,
 2014 , 70 , 6271 , reserved , 0.0 ,
 2015 , 45 , 6312 , approved , 0.0 ,
 2014 , 70 , 6423 , revised , 0.0 ,
 2014 , 50 , 6621 , revised , 0.0 ,
 2014 , 15 , 6691 , draft , 0.0 ,
 2013 , 00 , 6491 , executed , 14878.00 ,
 2014 , 00 , 6718 , revised , 37393.4 ,
 2014 , 00 , 6492 , executed , 96885.74 ,
 2015 , 00 , 6493 , executed , 0.0 ,
 2014 , 45 , 7512 , approved , 0.0 ,
 2014 , 35 , 7413 , approved , 0.0 ,
 2014 , 10 , 6212 , reserved , 0.0 ,
 2015 , 45 , 7511 , approved , 0.0 ,
 2015 , 10 , 6213 , reserved , 0.0 ,
 2014 , 15 , 6482 , executed , 0.0 ,
 2015 , 35 , 7412 , approved , 0.0 ,
 2013 , 10 , 6473 , reserved , 0.0 ,
 2015 , 10 , 7411 , reserved , 0.0 ,
 2015 , 15 , 6483 , executed , 0.0 ,
 2013 , 70 , 6275 , reserved , 0.0 ,
 2013 , 45 , 7513 , approved , 0.0 ,
 2014 , 70 , 6272 , reserved , 0.0 ,
 2015 , 70 , 6273 , reserved , 0.0 ,
 2013 , 70 , 6142 , reserved , 0.0 ,
 2015 , 15 , 6691 , draft , 0.0 ,
 2015 , 00 , 6718 , revised , 0.0 ,
 2013 , 40 , 6312 , approved , 0.0 ,
 2014 , 00 , 6493 , executed , 0.0 ,
 2015 , 00 , 6492 , executed , 177219.78 ,
 2013 , 70 , 6141 , reserved , 0.0 ,
 2015 , 35 , 7413 , approved , 0.0 ,
 2015 , 45 , 7512 , approved , 0.0 ,
 2014 , 35 , 7412 , approved , 0.0 ,
 2015 , 15 , 6482 , executed , 0.0 ,
 2014 , 10 , 6213 , reserved , 0.0 ,
 2014 , 45 , 7511 , approved , 0.0 ,
 2015 , 10 , 6212 , reserved , 0.0 ,
 2013 , 45 , 6635 , revised , 0.0 ,
 2013 , 25 , 6461 , approved , 0.0 ,
 2013 , 10 , 6472 , reserved , 0.0 ,
 2014 , 15 , 6483 , executed , 0.0 ,
 2014 , 10 , 7411 , reserved , 0.0 ,
 2013 , 70 , 6274 , reserved , 0.0 ,
 2014 , 70 , 6273 , reserved , 0.0 ,
 2015 , 70 , 6272 , reserved , 0.0 ,
 2014 , 10 , 6718 , revised , 0.0 ,
 2015 , 30 , 6462 , approved , 2675.25 ,
 2014 , 00 , 6712 , revised , 0.0 ,
 2014 , 30 , 6463 , approved , 0.0 ,
 2013 , 15 , 6463 , reserved , 0.0 ,
 2014 , 20 , 6211 , approved , 1210567.47 ,
 2015 , 00 , 6713 , revised , 0.0 ,
 2013 , 20 , 6474 , approved , 0.0 ,
 2013 , 40 , 6263 , executed , 0.0 ,
 2015 , 40 , 6261 , executed , 0.0 ,
 2013 , 00 , 6711 , revised , 0.0 ,
 2015 , 30 , 6162 , executed , 0.0 ,
 2013 , 40 , 6321 , approved , 0.0 ,
 2015 , 25 , 7412 , approved , 0.0 ,
 2014 , 25 , 7413 , approved , 0.0 ,
 2014 , 10 , 6681 , draft , 0.0 ,
 2013 , 00 , 6434 , draft , 1000.0 ,
 2013 , 70 , 6691 , revised , 0.0 ,
 2013 , 10 , 6682 , draft , 0.0 ,
 2014 , 20 , 6022 , executed , 1545.67 ,
 2015 , 45 , 6265 , executed , 0.0 ,
 2014 , 45 , 6264 , executed , 0.0 ,
 2015 , 10 , 6718 , revised , 0.0 ,
 2013 , 15 , 6462 , reserved , 0.0 ,
 2015 , 00 , 6712 , revised , 0.0 ,
 2013 , 40 , 6262 , executed , 0.0 ,
 2014 , 30 , 6462 , approved , 1519.68 ,
 2014 , 00 , 6713 , revised , 0.0 ,
 2015 , 20 , 6211 , approved , 584304.69 ,
 2015 , 30 , 6463 , approved , 0.0 ,
 2013 , 40 , 6322 , approved , 0.0 ,
 2014 , 40 , 6261 , executed , 0.0 ,
 2014 , 30 , 6162 , executed , 0.0 ,
 2014 , 25 , 7412 , approved , 0.0 ,
 2015 , 10 , 6681 , draft , 0.0 ,
 2015 , 25 , 7413 , approved , 0.0 ,
 2013 , 35 , 6461 , approved , 0.0 ,
 2014 , 45 , 6265 , executed , 0.0 ,
 2015 , 20 , 6022 , executed , 2329.03 ,
 2015 , 45 , 6264 , executed , 0.0 ,
 2014 , 20 , 6213 , approved , 0.0 ,
 2015 , 00 , 6715 , revised , 1200000.0 ,
 2015 , 20 , 6212 , approved , 0.0 ,
 2014 , 30 , 6461 , approved , 0.0 ,
 2013 , 15 , 6461 , reserved , 0.0 ,
 2013 , 15 , 6422 , draft , 500.0 ,
 2014 , 00 , 6714 , revised , 0.0 ,
 2013 , 40 , 6265 , executed , 0.0 ,
 2013 , 20 , 6472 , approved , 0.0 ,
 2014 , 20 , 7411 , approved , 0.0 ,
 2014 , 45 , 6262 , executed , 3303.78 ,
 2013 , 70 , 6693 , revised , 0.0 ,
 2013 , 35 , 6462 , approved , 0.0 ,
 2013 , 50 , 6013 , executed , 0.0 ,
 2013 , 00 , 6432 , draft , 0.0 ,
 2015 , 45 , 6321 , approved , 0.0 ,
 2014 , 45 , 6322 , approved , 0.0 ,
 2015 , 20 , 6021 , executed , 64976.53 ,
 2013 , 35 , 6162 , executed , 0.0 ,
 2013 , 45 , 6261 , executed , 0.0 ,
 2015 , 45 , 6263 , executed , 0.0 ,
 2014 , 00 , 6715 , revised , 1917834.77 ,
 2014 , 20 , 6212 , approved , 0.0 ,
 2015 , 20 , 6213 , approved , 0.0 ,
 2013 , 15 , 6423 , draft , 0.0 ,
 2015 , 30 , 6461 , approved , 0.0 ,
 2015 , 00 , 6714 , revised , 0.0 ,
 2013 , 40 , 6264 , executed , 0.0 ,
 2013 , 20 , 6473 , approved , 0.0 ,
 2013 , 50 , 6072 , reserved , 0.0 ,
 2013 , 70 , 6241 , approved , 0.0 ,
 2015 , 20 , 7411 , approved , 0.0 ,
 2015 , 45 , 6262 , executed , 2137.74 ,
 2013 , 90 , 9111 , draft , 179737.41 ,
 2013 , 70 , 6692 , revised , 0.0 ,
 2013 , 35 , 6463 , approved , 0.0 ,
 2013 , 50 , 6012 , executed , 0.0 ,
 2014 , 45 , 6321 , approved , 0.0 ,
 2013 , 00 , 6433 , draft , 3000.0 ,
 2014 , 20 , 6021 , executed , 100999.99 ,
 2015 , 45 , 6322 , approved , 0.0 ,
 2014 , 45 , 6263 , executed , 0.0 ,
 2014 , 70 , 6241 , approved , 0.0 ,
 2014 , 50 , 6072 , reserved , 0.0 ,
 2014 , 40 , 6264 , executed , 0.0 ,
 2014 , 20 , 6473 , approved , 0.0 ,
 2015 , 20 , 6472 , approved , 0.0 ,
 2015 , 40 , 6265 , executed , 0.0 ,
 2015 , 15 , 6422 , draft , 500.0 ,
 2014 , 15 , 6423 , draft , 0.0 ,
 2015 , 15 , 6461 , reserved , 0.0 ,
 2013 , 20 , 6212 , approved , 0.0 ,
 2013 , 00 , 6715 , revised , 1982807.41 ,
 2015 , 35 , 6162 , executed , 0.0 ,
 2013 , 45 , 6263 , executed , 0.0 ,
 2015 , 45 , 6261 , executed , 0.0 ,
 2013 , 20 , 6021 , executed , 104700.0 ,
 2014 , 00 , 6433 , draft , 3000.0 ,
 2015 , 00 , 6432 , draft , 0.0 ,
 2013 , 45 , 6321 , approved , 0.0 ,
 2014 , 50 , 6012 , executed , 0.0 ,
 2015 , 50 , 6013 , executed , 0.0 ,
 2015 , 35 , 6462 , approved , 1114.38 ,
 2014 , 70 , 6692 , revised , 0.0 ,
 2014 , 35 , 6463 , approved , 0.0 ,
 2015 , 70 , 6693 , revised , 0.0 ,
 2014 , 90 , 9111 , draft , 700137.49 ,
 2013 , 20 , 7411 , approved , 0.0 ,
 2015 , 70 , 6241 , approved , 0.0 ,
 2015 , 50 , 6072 , reserved , 0.0 ,
 2014 , 20 , 6472 , approved , 0.0 ,
 2015 , 40 , 6264 , executed , 0.0 ,
 2015 , 20 , 6473 , approved , 0.0 ,
 2014 , 40 , 6265 , executed , 0.0 ,
 2013 , 00 , 6714 , revised , 0.0 ,
 2014 , 15 , 6422 , draft , 500.0 ,
 2014 , 15 , 6461 , reserved , 0.0 ,
 2015 , 15 , 6423 , draft , 0.0 ,
 2013 , 30 , 6461 , approved , 0.0 ,
 2013 , 20 , 6213 , approved , 0.0 ,
 2014 , 45 , 6261 , executed , 0.0 ,
 2014 , 35 , 6162 , executed , 0.0 ,
 2013 , 45 , 6322 , approved , 0.0 ,
 2014 , 00 , 6432 , draft , 0.0 ,
 2015 , 00 , 6433 , draft , 3000.0 ,
 2014 , 35 , 6462 , approved , 0.0 ,
 2014 , 50 , 6013 , executed , 0.0 ,
 2015 , 50 , 6012 , executed , 0.0 ,
 2014 , 70 , 6693 , revised , 0.0 ,
 2015 , 35 , 6463 , approved , 0.0 ,
 2015 , 70 , 6692 , revised , 0.0 ,
 2015 , 90 , 9111 , draft , 834985.76 ,
 2013 , 45 , 6262 , executed , 590.4 ,
 2015 , 40 , 6321 , approved , 0.0 ,
 2013 , 30 , 6162 , executed , 0.0 ,
 2013 , 40 , 6261 , executed , 0.0 ,
 2015 , 40 , 6263 , executed , 0.0 ,
 2015 , 00 , 6711 , revised , 604230.74 ,
 2014 , 40 , 6322 , approved , 0.0 ,
 2015 , 20 , 6474 , approved , 0.0 ,
 2015 , 30 , 6331 , approved , 0.0 ,
 2013 , 00 , 6713 , revised , 0.0 ,
 2015 , 15 , 6463 , reserved , 0.0 ,
 2013 , 30 , 6462 , approved , 2054.47 ,
 2014 , 40 , 6262 , executed , 0.0 ,
 2014 , 15 , 6462 , reserved , 0.0 ,
 2013 , 45 , 6265 , executed , 0.0 ,
 2015 , 10 , 6682 , draft , 0.0 ,
 2015 , 70 , 6691 , revised , 0.0 ,
 2015 , 00 , 6434 , draft , 4000.0 ,
 2014 , 35 , 6461 , approved , 0.0 ,
 2013 , 25 , 7412 , approved , 0.0 ,
 2014 , 40 , 6321 , approved , 0.0 ,
 2014 , 00 , 6711 , revised , 0.0 ,
 2014 , 40 , 6263 , executed , 0.0 ,
 2014 , 20 , 6474 , approved , 0.0 ,
 2015 , 40 , 6322 , approved , 0.0 ,
 2013 , 20 , 6211 , approved , 1099614.46 ,
 2014 , 15 , 6463 , reserved , 0.0 ,
 2013 , 30 , 6463 , approved , 0.0 ,
 2013 , 00 , 6712 , revised , 2900.04 ,
 2015 , 15 , 6462 , reserved , 3000.0 ,
 2015 , 40 , 6262 , executed , 0.0 ,
 2013 , 10 , 6718 , revised , 0.0 ,
 2013 , 45 , 6264 , executed , 0.0 ,
 2013 , 20 , 6022 , executed , 1661.55 ,
 2014 , 10 , 6682 , draft , 0.0 ,
 2014 , 70 , 6691 , revised , 0.0 ,
 2014 , 00 , 6434 , draft , 1000.0 ,
 2015 , 35 , 6461 , approved , 0.0 ,
 2013 , 10 , 6681 , draft , 0.0 ,
 2013 , 25 , 7413 , approved , 0.0 ,
 2013 , 40 , 7336 , executed , 0.0 ,
 2013 , 70 , 7311 , approved , 0.0 ,
 2015 , 70 , 6244 , approved , 0.0 ,
 2013 , 50 , 6273 , executed , 0.0 ,
 2014 , 25 , 6642 , revised , 0.0 ,
 2014 , 50 , 6274 , executed , 0.0 ,
 2014 , 10 , 6234 , executed , 0.0 ,
 2015 , 50 , 6275 , executed , 0.0 ,
 2015 , 10 , 6235 , executed , 0.0 ,
 2014 , 70 , 6245 , approved , 0.0 ,
 2015 , 50 , 6142 , executed , 0.0 ,
 2015 , 25 , 6643 , revised , 0.0 ,
 2013 , 20 , 6061 , reserved , 9400.53 ,
 2014 , 40 , 7333 , executed , 0.0 ,
 2015 , 10 , 7111 , approved , 0.0 ,
 2013 , 25 , 6641 , revised , 0.0 ,
 2014 , 10 , 7112 , approved , 0.0 ,
 2014 , 50 , 6141 , executed , 0.0 ,
 2013 , 10 , 6233 , executed , 0.0 ,
 2015 , 40 , 7334 , executed , 0.0 ,
 2013 , 35 , 6051 , reserved , 22633.36 ,
 2013 , 45 , 7332 , executed , 0.0 ,
 2014 , 70 , 6112 , approved , 0.0 ,
 2015 , 70 , 6111 , approved , 0.0 ,
 2013 , 40 , 7335 , executed , 0.0 ,
 2014 , 70 , 6244 , approved , 0.0 ,
 2013 , 70 , 7312 , approved , 0.0 ,
 2014 , 50 , 6142 , executed , 0.0 ,
 2015 , 70 , 6245 , approved , 0.0 ,
 2013 , 50 , 6272 , executed , 0.0 ,
 2014 , 50 , 6275 , executed , 0.0 ,
 2014 , 10 , 6235 , executed , 0.0 ,
 2015 , 25 , 6642 , revised , 0.0 ,
 2015 , 10 , 6234 , executed , 0.0 ,
 2015 , 50 , 6274 , executed , 0.0 ,
 2014 , 25 , 6643 , revised , 0.0 ,
 2014 , 10 , 7111 , approved , 0.0 ,
 2015 , 40 , 7333 , executed , 0.0 ,
 2015 , 10 , 7112 , approved , 0.0 ,
 2015 , 50 , 6141 , executed , 0.0 ,
 2013 , 10 , 6232 , executed , 14016.0 ,
 2014 , 40 , 7334 , executed , 0.0 ,
 2013 , 45 , 6266 , executed , 0.0 ,
 2013 , 25 , 6052 , reserved , 0.0 ,
 2013 , 70 , 6114 , approved , 0.0 ,
 2013 , 10 , 6041 , approved , 13215.58 ,
 2014 , 70 , 6111 , approved , 0.0 ,
 2015 , 70 , 6112 , approved , 0.0 ,
 2013 , 45 , 7331 , executed , 0.0 ,
 2015 , 70 , 6242 , approved , 0.0 ,
 2014 , 70 , 6243 , approved , 0.0 ,
 2014 , 25 , 7121 , reserved , 0.0 ,
 2015 , 25 , 7122 , reserved , 0.0 ,
 2013 , 50 , 6271 , executed , 0.0 ,
 2014 , 25 , 6644 , revised , 0.0 ,
 2014 , 40 , 6266 , executed , 0.0 ,
 2014 , 10 , 6236 , executed , 130.65 ,
 2014 , 50 , 6276 , executed , 0.0 ,
 2015 , 50 , 6277 , executed , 0.0 ,
 2015 , 30 , 6051 , reserved , 133033.48 ,
 2015 , 40 , 7332 , executed , 0.0 ,
 2014 , 20 , 6471 , approved , 0.0 ,
 2013 , 20 , 6063 , reserved , 21872.23 ,
 2014 , 40 , 7331 , executed , 0.0 ,
 2013 , 10 , 6231 , executed , 0.0 ,
 2014 , 45 , 7335 , executed , 0.0 ,
 2015 , 45 , 7336 , executed , 23753.07 ,
 2013 , 70 , 6115 , approved , 0.0 ,
 2013 , 10 , 6042 , approved , 0.0 ,
 2013 , 45 , 7334 , executed , 0.0 ,
 2013 , 25 , 6055 , reserved , 0.0 ,
 2015 , 50 , 6011 , executed , 0.0 ,
 2014 , 70 , 6242 , approved , 0.0 ,
 2015 , 70 , 6243 , approved , 0.0 ,
 2014 , 25 , 7122 , reserved , 0.0 ,
 2015 , 25 , 7121 , reserved , 0.0 ,
 2014 , 30 , 6051 , reserved , 135882.48 ,
 2013 , 15 , 6051 , approved , 23766.41 ,
 2014 , 50 , 6277 , executed , 0.0 ,
 2015 , 25 , 6644 , revised , 0.0 ,
 2015 , 50 , 6276 , executed , 0.0 ,
 2015 , 10 , 6236 , executed , 56.85 ,
 2015 , 40 , 6266 , executed , 0.0 ,
 2013 , 20 , 6062 , reserved , 1000.0 ,
 2014 , 40 , 7332 , executed , 0.0 ,
 2015 , 40 , 7331 , executed , 0.0 ,
 2015 , 20 , 6471 , approved , 0.0 ,
 2015 , 45 , 7335 , executed , 0.0 ,
 2014 , 45 , 7336 , executed , 22313.98 ,
 2013 , 25 , 6054 , reserved , 0.0 ,
 2014 , 50 , 6011 , executed , 0.0 ,
 2013 , 45 , 7333 , executed , 0.0 ,
 2015 , 10 , 6231 , executed , 0.0 ,
 2015 , 20 , 6063 , reserved , 45000.0 ,
 2013 , 40 , 7332 , executed , 0.0 ,
 2014 , 20 , 6062 , reserved , 0.0 ,
 2013 , 50 , 6277 , executed , 0.0 ,
 2014 , 15 , 6051 , approved , 31580.52 ,
 2015 , 50 , 6271 , executed , 0.0 ,
 2013 , 30 , 6051 , reserved , 128276.91 ,
 2013 , 25 , 7122 , reserved , 0.0 ,
 2013 , 70 , 6242 , approved , 0.0 ,
 2014 , 45 , 7333 , executed , 0.0 ,
 2015 , 45 , 7334 , executed , 0.0 ,
 2013 , 50 , 6011 , executed , 0.0 ,
 2014 , 25 , 6054 , reserved , 0.0 ,
 2015 , 25 , 6055 , reserved , 0.0 ,
 2015 , 10 , 6042 , approved , 0.0 ,
 2013 , 45 , 7336 , executed , 0.0 ,
 2015 , 70 , 6115 , approved , 0.0 ,
 2014 , 10 , 6231 , executed , 0.0 ,
 2013 , 40 , 7331 , executed , 0.0 ,
 2014 , 20 , 6063 , reserved , 20223.25 ,
 2013 , 20 , 6471 , approved , 0.0 ,
 2015 , 20 , 6062 , reserved , 0.0 ,
 2013 , 50 , 6276 , executed , 0.0 ,
 2013 , 10 , 6236 , executed , 56.85 ,
 2013 , 25 , 6644 , revised , 0.0 ,
 2013 , 40 , 6266 , executed , 0.0 ,
 2014 , 50 , 6271 , executed , 0.0 ,
 2015 , 15 , 6051 , approved , 30358.47 ,
 2013 , 25 , 7121 , reserved , 0.0 ,
 2013 , 70 , 6243 , approved , 0.0 ,
 2015 , 45 , 7333 , executed , 0.0 ,
 2014 , 25 , 6055 , reserved , 0.0 ,
 2015 , 25 , 6054 , reserved , 0.0 ,
 2014 , 45 , 7334 , executed , 0.0 ,
 2014 , 10 , 6042 , approved , 0.0 ,
 2014 , 70 , 6115 , approved , 0.0 ,
 2013 , 45 , 7335 , executed , 0.0 ,
 2013 , 40 , 7334 , executed , 0.0 ,
 2014 , 10 , 6232 , executed , 10512.0 ,
 2015 , 10 , 6233 , executed , 0.0 ,
 2015 , 25 , 6641 , revised , 0.0 ,
 2013 , 10 , 7111 , approved , 0.0 ,
 2015 , 20 , 6061 , reserved , 20000.0 ,
 2013 , 25 , 6643 , revised , 0.0 ,
 2013 , 10 , 6235 , executed , 0.0 ,
 2013 , 50 , 6275 , executed , 0.0 ,
 2014 , 50 , 6272 , executed , 0.0 ,
 2015 , 50 , 6273 , executed , 0.0 ,
 2013 , 50 , 6142 , executed , 0.0 ,
 2014 , 70 , 7312 , approved , 0.0 ,
 2013 , 70 , 6244 , approved , 0.0 ,
 2015 , 40 , 7336 , executed , 0.0 ,
 2015 , 70 , 7311 , approved , 0.0 ,
 2014 , 40 , 7335 , executed , 0.0 ,
 2014 , 45 , 7331 , executed , 0.0 ,
 2015 , 45 , 7332 , executed , 0.0 ,
 2013 , 70 , 6111 , approved , 0.0 ,
 2014 , 10 , 6041 , approved , 22570.57 ,
 2015 , 35 , 6051 , reserved , 22373.58 ,
 2014 , 25 , 6052 , reserved , 0.0 ,
 2014 , 70 , 6114 , approved , 0.0 ,
 2014 , 45 , 6266 , executed , 0.0 ,
 2014 , 10 , 6233 , executed , 0.0 ,
 2015 , 10 , 6232 , executed , 7008.0 ,
 2013 , 10 , 7112 , approved , 0.0 ,
 2013 , 50 , 6141 , executed , 0.0 ,
 2014 , 25 , 6641 , revised , 0.0 ,
 2013 , 40 , 7333 , executed , 0.0 ,
 2014 , 20 , 6061 , reserved , 11258.31 ,
 2013 , 70 , 6245 , approved , 0.0 ,
 2015 , 70 , 7312 , approved , 0.0 ,
 2013 , 25 , 6642 , revised , 0.0 ,
 2013 , 50 , 6274 , executed , 0.0 ,
 2013 , 10 , 6234 , executed , 0.0 ,
 2014 , 50 , 6273 , executed , 0.0 ,
 2015 , 50 , 6272 , executed , 0.0 ,
 2014 , 70 , 7311 , approved , 0.0 ,
 2014 , 40 , 7336 , executed , 0.0 ,
 2015 , 40 , 7335 , executed , 0.0 ,
 2015 , 45 , 7331 , executed , 0.0 ,
 2013 , 70 , 6112 , approved , 0.0 ,
 2014 , 45 , 7332 , executed , 0.0 ,
 2015 , 10 , 6041 , approved , 12827.38 ,
 2015 , 25 , 6052 , reserved , 0.0 ,
 2015 , 70 , 6114 , approved , 0.0 ,
 2014 , 35 , 6051 , reserved , 23729.04 ,
 2015 , 45 , 6266 , executed , 0.0 ,
 2015 , 00 , 6221 , executed , 14852.25 ,
 2014 , 35 , 6652 , revised , 0.0 ,
 2015 , 35 , 6653 , revised , 0.0 ,
 2013 , 35 , 7112 , reserved , 0.0 ,
 2013 , 45 , 6621 , revised , 0.0 ,
 2013 , 00 , 6223 , executed , 9920.51 ,
 2014 , 20 , 6054 , reserved , 83412.69 ,
 2015 , 20 , 6055 , reserved , 0.0 ,
 2015 , 15 , 6042 , approved , 0.0 ,
 2013 , 30 , 6651 , revised , 0.0 ,
 2013 , 70 , 7334 , reserved , 0.0 ,
 2013 , 20 , 7122 , reserved , 0.0 ,
 2014 , 10 , 6051 , approved , 191354.36 ,
 2014 , 00 , 6053 , approved , 18430.04 ,
 2014 , 25 , 6062 , reserved , 0.0 ,
 2015 , 70 , 7336 , reserved , 0.0 ,
 2015 , 35 , 6041 , reserved , 0.0 ,
 2014 , 70 , 7335 , reserved , 0.0 ,
 2015 , 25 , 6063 , reserved , 0.0 ,
 2015 , 15 , 6231 , executed , 0.0 ,
 2014 , 00 , 6221 , executed , 14813.0 ,
 2014 , 35 , 6653 , revised , 0.0 ,
 2015 , 35 , 6652 , revised , 0.0 ,
 2013 , 35 , 7111 , reserved , 0.0 ,
 2013 , 50 , 6312 , approved , 0.0 ,
 2014 , 15 , 6042 , approved , 0.0 ,
 2013 , 35 , 6654 , revised , 0.0 ,
 2013 , 30 , 6042 , reserved , 0.0 ,
 2014 , 20 , 6055 , reserved , 0.0 ,
 2015 , 20 , 6054 , reserved , 93554.85 ,
 2013 , 00 , 6222 , executed , 41720.64 ,
 2013 , 70 , 7333 , reserved , 0.0 ,
 2013 , 20 , 7121 , reserved , 0.0 ,
 2013 , 15 , 6236 , executed , 9696.0 ,
 2015 , 10 , 6051 , approved , 172830.02 ,
 2013 , 20 , 6644 , revised , 20014.45 ,
 2015 , 00 , 6053 , approved , 16554.47 ,
 2014 , 35 , 6041 , reserved , 0.0 ,
 2014 , 70 , 7336 , reserved , 0.0 ,
 2015 , 25 , 6062 , reserved , 0.0 ,
 2013 , 25 , 6471 , approved , 0.0 ,
 2013 , 90 , missing , executed , 0.0 ,
 2014 , 25 , 6063 , reserved , 0.0 ,
 2015 , 70 , 7335 , reserved , 0.0 ,
 2014 , 15 , 6231 , executed , 0.0 ,
 2014 , 50 , 6635 , revised , 0.0 ,
 2015 , 35 , 6651 , revised , 0.0 ,
 2014 , 20 , 6052 , reserved , 29152.7 ,
 2013 , 50 , 7511 , approved , 0.0 ,
 2013 , 30 , 6041 , reserved , 0.0 ,
 2015 , 50 , 7513 , approved , 0.0 ,
 2014 , 15 , 6041 , approved , 0.0 ,
 2013 , 70 , 7332 , reserved , 0.0 ,
 2013 , 00 , 6056 , approved , 574994.88 ,
 2013 , 30 , 6653 , revised , 0.0 ,
 2013 , 15 , 6235 , executed , 16051.5 ,
 2013 , 20 , 6643 , revised , 0.0 ,
 2015 , 25 , 6061 , reserved , 0.0 ,
 2015 , 00 , 6054 , approved , 0.0 ,
 2014 , 35 , 6042 , reserved , 0.0 ,
 2014 , 30 , 6654 , revised , 0.0 ,
 2015 , 30 , 7112 , reserved , 0.0 ,
 2013 , 15 , 7111 , approved , 0.0 ,
 2014 , 30 , 7111 , reserved , 3814.4 ,
 2015 , 20 , 6641 , revised , 268000.0 ,
 2014 , 15 , 6232 , executed , 0.0 ,
 2015 , 40 , 6621 , revised , 0.0 ,
 2015 , 15 , 6233 , executed , 0.0 ,
 2014 , 35 , 6651 , revised , 0.0 ,
 2015 , 50 , 6635 , revised , 0.0 ,
 2013 , 50 , 7512 , approved , 0.0 ,
 2015 , 20 , 6052 , reserved , 17508.46 ,
 2015 , 15 , 6041 , approved , 0.0 ,
 2013 , 00 , 6224 , executed , 5568.45 ,
 2014 , 50 , 7513 , approved , 0.0 ,
 2013 , 70 , 7331 , reserved , 0.0 ,
 2013 , 30 , 6652 , revised , 0.0 ,
 2013 , 20 , 6642 , revised , 0.0 ,
 2013 , 15 , 6234 , executed , 0.0 ,
 2014 , 30 , 7112 , reserved , 0.0 ,
 2015 , 30 , 6654 , revised , 0.0 ,
 2015 , 35 , 6042 , reserved , 0.0 ,
 2013 , 15 , 7112 , approved , 0.0 ,
 2014 , 25 , 6061 , reserved , 0.0 ,
 2014 , 00 , 6054 , approved , 0.0 ,
 2014 , 20 , 6641 , revised , 252000.0 ,
 2015 , 30 , 7111 , reserved , 0.0 ,
 2013 , 70 , 6266 , reserved , 0.0 ,
 2014 , 15 , 6233 , executed , 0.0 ,
 2014 , 40 , 6621 , revised , 0.0 ,
 2015 , 15 , 6232 , executed , 0.0 ,
 2013 , 50 , 7513 , approved , 0.0 ,
 2014 , 00 , 6224 , executed , 6335.44 ,
 2015 , 30 , 6041 , reserved , 0.0 ,
 2015 , 50 , 7511 , approved , 0.0 ,
 2014 , 50 , 7512 , approved , 0.0 ,
 2013 , 35 , 6651 , revised , 0.0 ,
 2013 , 15 , 6233 , executed , 0.0 ,
 2013 , 40 , 6621 , revised , 0.0 ,
 2014 , 70 , 6266 , reserved , 0.0 ,
 2015 , 15 , 7111 , approved , 0.0 ,
 2013 , 20 , 6641 , revised , 340755.52 ,
 2013 , 00 , 6054 , approved , 0.0 ,
 2013 , 25 , 6061 , reserved , 0.0 ,
 2014 , 15 , 7112 , approved , 0.0 ,
 2013 , 30 , 7112 , reserved , 0.0 ,
 2014 , 15 , 6234 , executed , 0.0 ,
 2015 , 15 , 6235 , executed , 11254.5 ,
 2015 , 20 , 6643 , revised , 0.0 ,
 2015 , 00 , 6056 , approved , 312300.0 ,
 2014 , 30 , 6652 , revised , 0.0 ,
 2014 , 20 , 6642 , revised , 0.0 ,
 2015 , 30 , 6653 , revised , 0.0 ,
 2015 , 70 , 7332 , reserved , 0.0 ,
 2014 , 70 , 7331 , reserved , 0.0 ,
 2013 , 15 , 6041 , approved , 0.0 ,
 2014 , 30 , 6041 , reserved , 0.0 ,
 2015 , 00 , 6224 , executed , 3316.79 ,
 2014 , 50 , 7511 , approved , 0.0 ,
 2013 , 20 , 6052 , reserved , 31076.12 ,
 2015 , 50 , 7512 , approved , 0.0 ,
 2013 , 50 , 6635 , revised , 0.0 ,
 2013 , 15 , 6232 , executed , 0.0 ,
 2015 , 70 , 6266 , reserved , 0.0 ,
 2013 , 30 , 7111 , reserved , 0.0 ,
 2014 , 15 , 7111 , approved , 0.0 ,
 2013 , 30 , 6654 , revised , 0.0 ,
 2013 , 35 , 6042 , reserved , 0.0 ,
 2015 , 15 , 7112 , approved , 0.0 ,
 2014 , 15 , 6235 , executed , 6949.5 ,
 2014 , 20 , 6643 , revised , 0.0 ,
 2015 , 15 , 6234 , executed , 0.0 ,
 2014 , 30 , 6653 , revised , 0.0 ,
 2015 , 30 , 6652 , revised , 0.0 ,
 2015 , 20 , 6642 , revised , 0.0 ,
 2014 , 00 , 6056 , approved , 432139.95 ,
 2014 , 70 , 7332 , reserved , 0.0 ,
 2015 , 70 , 7331 , reserved , 0.0 ,
 2014 , 00 , 6222 , executed , 31521.0 ,
 2013 , 20 , 6055 , reserved , 0.0 ,
 2014 , 35 , 6654 , revised , 0.0 ,
 2014 , 30 , 6042 , reserved , 0.0 ,
 2015 , 00 , 6223 , executed , 6650.09 ,
 2015 , 45 , 6621 , revised , 0.0 ,
 2015 , 35 , 7112 , reserved , 0.0 ,
 2013 , 15 , 6042 , approved , 0.0 ,
