 year , adminClass , economicClass , budgetPhase , sum ,
nom,nom,nom,nom,target,
 2015 , 30 , 6231 , approved , 0.0 ,
 2015 , 80 , 8224 , draft , 7300.0 ,
 2013 , 40 , 7312 , approved , 0.0 ,
 2015 , 40 , 6245 , approved , 0.0 ,
 2015 , 15 , 6631 , draft , 2000.0 ,
 2015 , 70 , 7333 , executed , 0.0 ,
 2014 , 20 , 7122 , executed , 0.0 ,
 2015 , 20 , 7121 , executed , 0.0 ,
 2015 , 15 , 6236 , reserved , 0.0 ,
 2014 , 70 , 7334 , executed , 0.0 ,
 2015 , 50 , 6251 , approved , 0.0 ,
 2014 , 20 , 7422 , approved , 0.0 ,
 2015 , 20 , 7423 , approved , 0.0 ,
 2015 , 35 , 7111 , executed , 0.0 ,
 2013 , 20 , 6054 , executed , 85893.63 ,
 2014 , 00 , 6223 , reserved , 9101.51 ,
 2014 , 35 , 7112 , executed , 0.0 ,
 2015 , 30 , 6042 , executed , 0.0 ,
 2013 , 45 , 6243 , approved , 0.0 ,
 2013 , 35 , 6233 , approved , 0.0 ,
 2015 , 00 , 6222 , reserved , 50000.0 ,
 2013 , 40 , 6114 , approved , 0.0 ,
 2014 , 35 , 6234 , approved , 0.0 ,
 2015 , 35 , 6235 , approved , 0.0 ,
 2014 , 40 , 6111 , approved , 0.0 ,
 2015 , 40 , 6112 , approved , 0.0 ,
 2013 , 20 , 7422 , approved , 0.0 ,
 2013 , 70 , 7334 , executed , 0.0 ,
 2015 , 30 , 6236 , approved , 0.0 ,
 2013 , 20 , 7122 , executed , 0.0 ,
 2015 , 20 , 6484 , approved , 0.0 ,
 2014 , 40 , 7312 , approved , 0.0 ,
 2015 , 15 , 6231 , reserved , 0.0 ,
 2014 , 70 , 7335 , executed , 0.0 ,
 2015 , 25 , 6063 , executed , 0.0 ,
 2013 , 40 , 6244 , approved , 0.0 ,
 2014 , 25 , 6062 , executed , 0.0 ,
 2015 , 40 , 7311 , approved , 0.0 ,
 2015 , 70 , 7336 , executed , 0.0 ,
 2013 , 45 , 6115 , approved , 0.0 ,
 2015 , 35 , 6041 , executed , 0.0 ,
 2013 , 40 , 6111 , approved , 0.0 ,
 2013 , 35 , 6234 , approved , 0.0 ,
 2015 , 00 , 6221 , reserved , 15000.0 ,
 2014 , 40 , 6114 , approved , 0.0 ,
 2015 , 45 , 6242 , approved , 0.0 ,
 2014 , 45 , 6243 , approved , 0.0 ,
 2014 , 35 , 6233 , approved , 0.0 ,
 2015 , 35 , 6232 , approved , 0.0 ,
 2013 , 35 , 7112 , executed , 0.0 ,
 2013 , 00 , 6223 , reserved , 9920.51 ,
 2014 , 20 , 6054 , executed , 83412.69 ,
 2015 , 20 , 6055 , executed , 0.0 ,
 2013 , 20 , 7423 , approved , 0.0 ,
 2013 , 15 , 6236 , reserved , 12120.0 ,
 2013 , 20 , 7121 , executed , 0.0 ,
 2013 , 50 , 6251 , approved , 0.0 ,
 2014 , 30 , 6236 , approved , 0.0 ,
 2013 , 15 , 6631 , draft , 0.0 ,
 2014 , 20 , 6484 , approved , 0.0 ,
 2013 , 70 , 7333 , executed , 0.0 ,
 2013 , 80 , 8224 , draft , 16000.0 ,
 2013 , 40 , 6245 , approved , 0.0 ,
 2015 , 40 , 7312 , approved , 0.0 ,
 2014 , 15 , 6231 , reserved , 0.0 ,
 2013 , 30 , 6231 , approved , 0.0 ,
 2013 , 90 , missing , reserved , 0.0 ,
 2014 , 25 , 6063 , executed , 0.0 ,
 2015 , 70 , 7335 , executed , 0.0 ,
 2014 , 35 , 6041 , executed , 0.0 ,
 2014 , 70 , 7336 , executed , 0.0 ,
 2014 , 40 , 7311 , approved , 0.0 ,
 2015 , 25 , 6062 , executed , 0.0 ,
 2013 , 40 , 6112 , approved , 0.0 ,
 2013 , 35 , 6235 , approved , 0.0 ,
 2014 , 00 , 6221 , reserved , 14813.0 ,
 2014 , 45 , 6242 , approved , 0.0 ,
 2015 , 40 , 6114 , approved , 0.0 ,
 2014 , 35 , 6232 , approved , 0.0 ,
 2015 , 45 , 6243 , approved , 0.0 ,
 2015 , 35 , 6233 , approved , 0.0 ,
 2013 , 00 , 6222 , reserved , 44446.64 ,
 2013 , 30 , 6042 , executed , 0.0 ,
 2014 , 20 , 6055 , executed , 0.0 ,
 2015 , 20 , 6054 , executed , 40404.75 ,
 2013 , 35 , 7111 , executed , 0.0 ,
 2014 , 30 , 6235 , approved , 0.0 ,
 2015 , 30 , 6234 , approved , 0.0 ,
 2013 , 15 , 6235 , reserved , 16051.5 ,
 2013 , 70 , 7332 , executed , 0.0 ,
 2014 , 45 , 6112 , approved , 0.0 ,
 2015 , 45 , 6111 , approved , 0.0 ,
 2015 , 80 , 8221 , draft , 0.0 ,
 2013 , 15 , 6632 , draft , 0.0 ,
 2013 , 30 , 6232 , approved , 0.0 ,
 2013 , 80 , 8223 , draft , 140000.0 ,
 2014 , 15 , 6232 , reserved , 0.0 ,
 2015 , 15 , 6233 , reserved , 0.0 ,
 2013 , 50 , 6252 , approved , 0.0 ,
 2013 , 40 , 6242 , approved , 0.0 ,
 2014 , 30 , 7111 , executed , 3814.4 ,
 2015 , 25 , 6061 , executed , 0.0 ,
 2014 , 35 , 6042 , executed , 0.0 ,
 2015 , 30 , 7112 , executed , 0.0 ,
 2013 , 35 , 6236 , approved , 0.0 ,
 2014 , 20 , 6052 , executed , 29009.41 ,
 2013 , 50 , 6681 , revised , 0.0 ,
 2014 , 50 , 6682 , revised , 0.0 ,
 2014 , 35 , 6231 , approved , 0.0 ,
 2015 , 40 , 6115 , approved , 0.0 ,
 2013 , 45 , 7311 , approved , 0.0 ,
 2015 , 45 , 6244 , approved , 0.0 ,
 2013 , 30 , 6041 , executed , 0.0 ,
 2013 , 25 , 7424 , approved , 0.0 ,
 2014 , 45 , 6245 , approved , 0.0 ,
 2013 , 15 , 6234 , reserved , 0.0 ,
 2014 , 30 , 6234 , approved , 0.0 ,
 2015 , 30 , 6235 , approved , 0.0 ,
 2014 , 45 , 6111 , approved , 0.0 ,
 2014 , 80 , 8221 , draft , 0.0 ,
 2015 , 45 , 6112 , approved , 0.0 ,
 2013 , 15 , 6633 , draft , 0.0 ,
 2013 , 20 , 7421 , approved , 0.0 ,
 2013 , 70 , 7331 , executed , 0.0 ,
 2014 , 15 , 6233 , reserved , 0.0 ,
 2015 , 15 , 6232 , reserved , 0.0 ,
 2013 , 30 , 6233 , approved , 996.3 ,
 2013 , 70 , 6266 , executed , 0.0 ,
 2013 , 80 , 8222 , draft , 2500.0 ,
 2013 , 45 , 6114 , approved , 0.0 ,
 2015 , 30 , 7111 , executed , 0.0 ,
 2013 , 50 , 6253 , approved , 0.0 ,
 2014 , 30 , 7112 , executed , 0.0 ,
 2015 , 35 , 6042 , executed , 0.0 ,
 2013 , 40 , 6243 , approved , 0.0 ,
 2014 , 25 , 6061 , executed , 0.0 ,
 2015 , 20 , 6052 , executed , 17281.55 ,
 2015 , 35 , 6231 , approved , 0.0 ,
 2013 , 15 , 6634 , draft , 0.0 ,
 2015 , 50 , 6682 , revised , 0.0 ,
 2014 , 45 , 6244 , approved , 0.0 ,
 2014 , 40 , 6115 , approved , 0.0 ,
 2013 , 25 , 7425 , approved , 0.0 ,
 2013 , 45 , 7312 , approved , 0.0 ,
 2015 , 45 , 6245 , approved , 0.0 ,
 2013 , 00 , 6224 , reserved , 9028.08 ,
 2014 , 25 , 6412 , revised , 0.0 ,
 2015 , 25 , 6413 , revised , 0.0 ,
 2013 , 50 , 7132 , executed , 0.0 ,
 2013 , 10 , 6161 , approved , 10000.0 ,
 2013 , 25 , 6411 , revised , 0.0 ,
 2015 , 50 , 7134 , executed , 0.0 ,
 2014 , 50 , 7326 , approved , 0.0 ,
 2015 , 50 , 7325 , approved , 0.0 ,
 2013 , 70 , 6265 , executed , 0.0 ,
 2014 , 50 , 7133 , executed , 0.0 ,
 2014 , 20 , 6481 , approved , 0.0 ,
 2013 , 10 , 6463 , executed , 540.7 ,
 2015 , 45 , 6691 , revised , 0.0 ,
 2013 , 50 , 6254 , approved , 0.0 ,
 2013 , 20 , 6673 , revised , 0.0 ,
 2014 , 25 , 6022 , reserved , 0.0 ,
 2013 , 40 , 6693 , revised , 0.0 ,
 2013 , 15 , 6635 , draft , 0.0 ,
 2015 , 25 , 6414 , revised , 0.0 ,
 2015 , 30 , 6661 , revised , 0.0 ,
 2015 , 10 , 6331 , executed , 0.0 ,
 2014 , 25 , 6413 , revised , 0.0 ,
 2015 , 25 , 6412 , revised , 0.0 ,
 2013 , 10 , 6162 , approved , 0.0 ,
 2013 , 70 , 6264 , executed , 0.0 ,
 2014 , 50 , 7134 , executed , 0.0 ,
 2013 , 50 , 7131 , executed , 0.0 ,
 2015 , 50 , 7133 , executed , 0.0 ,
 2015 , 20 , 6481 , approved , 0.0 ,
 2014 , 50 , 7325 , approved , 0.0 ,
 2015 , 50 , 7326 , approved , 0.0 ,
 2014 , 45 , 6691 , revised , 0.0 ,
 2013 , 40 , 6241 , approved , 0.0 ,
 2013 , 10 , 6462 , executed , 430.5 ,
 2013 , 50 , 6255 , approved , 0.0 ,
 2013 , 20 , 6672 , revised , 5000.0 ,
 2015 , 25 , 6022 , reserved , 0.0 ,
 2013 , 40 , 6692 , revised , 0.0 ,
 2014 , 25 , 6414 , revised , 0.0 ,
 2014 , 30 , 6661 , revised , 0.0 ,
 2013 , 50 , 7321 , approved , 0.0 ,
 2014 , 45 , 6692 , revised , 0.0 ,
 2015 , 45 , 6693 , revised , 0.0 ,
 2014 , 20 , 6483 , approved , 0.0 ,
 2014 , 50 , 7324 , approved , 0.0 ,
 2015 , 50 , 7323 , approved , 0.0 ,
 2013 , 70 , 6263 , executed , 0.0 ,
 2014 , 50 , 7135 , executed , 0.0 ,
 2015 , 70 , 6261 , executed , 0.0 ,
 2015 , 20 , 6482 , approved , 0.0 ,
 2013 , 70 , 6321 , approved , 0.0 ,
 2013 , 10 , 6461 , executed , 143.91 ,
 2013 , 35 , 6661 , revised , 0.0 ,
 2013 , 20 , 6671 , revised , 60250.0 ,
 2015 , 25 , 6021 , reserved , 0.0 ,
 2013 , 40 , 6691 , revised , 0.0 ,
 2014 , 45 , 6241 , approved , 0.0 ,
 2015 , 00 , 6481 , reserved , 0.0 ,
 2013 , 50 , 7322 , approved , 0.0 ,
 2014 , 45 , 6693 , revised , 0.0 ,
 2015 , 45 , 6692 , revised , 0.0 ,
 2015 , 20 , 6483 , approved , 0.0 ,
 2013 , 70 , 6262 , executed , 0.0 ,
 2014 , 70 , 6261 , executed , 0.0 ,
 2015 , 50 , 7135 , executed , 0.0 ,
 2014 , 50 , 7323 , approved , 0.0 ,
 2015 , 50 , 7324 , approved , 0.0 ,
 2013 , 70 , 6322 , approved , 0.0 ,
 2014 , 20 , 6482 , approved , 0.0 ,
 2014 , 25 , 6021 , reserved , 0.0 ,
 2014 , 00 , 6481 , reserved , 0.0 ,
